file,type,tw_treewidthsolver,tw_triangulator
m3-n3-i10.gr,grid,2,2
m3-n3-i1.gr,grid,1,1
m3-n3-i2.gr,grid,2,2
m3-n3-i3.gr,grid,1,1
m3-n3-i4.gr,grid,2,2
m3-n3-i5.gr,grid,2,2
m3-n3-i6.gr,grid,2,2
m3-n3-i7.gr,grid,2,2
m3-n3-i8.gr,grid,1,1
m3-n3-i9.gr,grid,2,2
m3-n4-i10.gr,grid,2,2
m3-n4-i1.gr,grid,2,2
m3-n4-i2.gr,grid,2,2
m3-n4-i3.gr,grid,2,2
m3-n4-i5.gr,grid,2,2
m3-n4-i6.gr,grid,2,2
m3-n4-i7.gr,grid,2,2
m3-n4-i8.gr,grid,2,2
m3-n4-i9.gr,grid,2,2
m3-n5-i10.gr,grid,2,2
m3-n5-i1.gr,grid,2,2
m3-n5-i2.gr,grid,2,2
m3-n5-i3.gr,grid,2,2
m3-n5-i4.gr,grid,2,2
m3-n5-i5.gr,grid,2,2
m3-n5-i6.gr,grid,2,2
m3-n5-i7.gr,grid,3,3
m3-n5-i8.gr,grid,2,2
m3-n5-i9.gr,grid,2,2
m3-n6-i3.gr,grid,2,2
m3-n6-i4.gr,grid,2,2
m3-n6-i6.gr,grid,3,3
m3-n6-i7.gr,grid,2,2
m3-n6-i9.gr,grid,2,2
m4-n4-i1.gr,grid,2,2
m4-n4-i2.gr,grid,2,2
m4-n4-i3.gr,grid,2,2
m4-n4-i4.gr,grid,3,3
m4-n4-i5.gr,grid,2,2
m4-n4-i7.gr,grid,2,2
m4-n4-i9.gr,grid,2,2
m4-n5-i10.gr,grid,2,2
m4-n5-i2.gr,grid,2,2
m4-n5-i4.gr,grid,2,2
m4-n5-i6.gr,grid,2,2
m4-n5-i7.gr,grid,2,2
m4-n6-i10.gr,grid,2,2
m4-n6-i1.gr,grid,3,3
m4-n6-i2.gr,grid,3,3
m4-n6-i3.gr,grid,3,3
m4-n6-i5.gr,grid,3,3
m4-n6-i6.gr,grid,3,3
m4-n6-i7.gr,grid,2,2
m4-n6-i8.gr,grid,2,2
